的	dkuaoo	dk
贞	goiauo	goiau
哑	kieiio	kieii
荐	jveuia	jveu
炭	vqeuou	vqe
坟	mloeuo	mlo
眨	gyuoao	gyuo
搏	ngeiae	ngeia
咳	wioeau	wioe
拢	lgeuau	lge
舅	jkiaei	jkiaei
昧	tkeeiu	tkee
擅	fgoeia	fgoe
爽	feuouo	feu
咖	ciauia	cia
搁	rgoiau	rgoi
禄	lhaeei	lhae
雌	peieie	peie
哨	fiioui	fii
巩	riuaoo	riua
绢	jciaei	jcia
螺	leiaei	leiaei
裹	rfiaee	rfia
昔	hkeiie	hkeii
轩	hkeeii	hkee
谬	tfaoea	tfa
谍	dfeiie	dfeii
龟	rmiaee	rmi
媳	hmuiae	hmui
姜	jsauee	jsa
瞎	hyooae	hyo
冤	kpuaia	kpua
鸦	kneaiu	knea
蓬	yvuaoe	yvua
巷	hreiie	hrei
琳	lreiuo	lrei
栽	cdeiee	cdeie
沾	goieia	goie
诈	gfueie	gfuei
斋	gfeuia	gfeu
瞒	tyeiie	tyeii
彪	ngieau	ngie
厄	pcaaaa	pca
咨	cioeua	cio
纺	mcoeau	mco
罐	ryiaeu	ryi
桶	vdaoia	vda
壤	sloeia	slo
糕	rmouee	rmou
颂	bzuoao	bzu
膨	yseiei	yse
谐	hfeaua	hfe
垒	llaoao	lla
咕	rieiia	riei
隙	hxiuoi	hxi
辣	leeiae	lee
绑	nceeeu	nce
宠	zpeuau	zpe
嘿	wiiaou	wiiao
兑	driaeu	driae
霉	tqueaa	tqu
挫	pguouo	pguo
稽	jheuao	jheu
辐	mkeiae	mkei
乞	queaaa	quea
纱	fciuou	fciu
裙	qpaeeu	qpa
嘻	hieiei	hieie
哇	sieiee	sieie
绣	hcueiu	hcue
杖	gdeuoo	gdeu
塘	vloeua	vlo
衍	ktooee	ktoo
轴	gkiaei	gki
攀	ygeiuo	ygei
膊	nseiae	nseia
譬	yfaeui	yfa
斌	nfeeie	nfe
祈	qhuuei	qhu
踢	vqiaee	vqia
肆	bsoaee	bs
坎	cluauo	clua
轿	jkueuo	jku
棚	yduaee	ydu
泣	qooeou	qoo
屡	lqeiuo	lqe
躁	cqiaei	cqi
邱	qxuiei	qxui
凰	whuiae	whui
溢	kooueu	kooue
椎	zduioe	zdu
砸	cteiai	cte
趟	vuioui	vuio
帘	lsiaii	lsi
帆	mzuaoo	mzu
栖	qdeiau	qdeia
窜	psiaei	psi
丸	suaooo	suao
斩	gkuuei	gkuu
堤	dliaee	dli
塌	vliaee	vliae
厢	hceiuo	hceiu
贩	mfuuao	mfuu
掀	hguuei	hguu
喀	ciooau	cioo
乖	rueiie	ruei
谜	tfouei	tfo
捏	xgiaee	xgi
阎	ktuaui	ktua
滨	noooau	nooo
虏	lsauuu	lsa
匙	fkeieu	fkei
芦	lvoaeu	lvo
苹	yveoue	yveo
卸	hxueei	hxue
沼	goauia	goau
钥	kauaee	kau
株	gdueei	gdu
祷	dheeeu	dhe
剖	ymoeou	ymoe
熙	hyeiia	hye
劈	ymaeui	yma
哗	wiuiua	wiuiu
怯	qweiea	qwei
棠	vdiouo	vdi
胳	rsuaoi	rsua
桩	gdoeue	gdoe
瑰	rruiae	rru
娱	kmiaee	kmiae
娶	qmeiie	qmei
沫	toeeiu	toee
嗓	biaoao	bia
蹲	dqouei	dqo
淘	vouaue	voua
焚	myeiuo	mye
嫩	xmeiae	xme
韵	kguaoe	kguao
匈	htuoai	htuo
衬	zpeioo	zpei
竖	fniiao	fni
钧	jauaoe	jaua
峻	jqaouo	jqa
豹	njuaoo	njua
捞	lgeiio	lgei
菊	jvuaou	jvua
鄙	nxiaee	nxia
魄	ykuiae	yk
兜	dfuiae	dfuia
哄	wieiie	wieii
颖	kzuaue	kzu
镑	naoeou	nao
屑	hqioui	hqi
蚁	keouoo	keo
壶	wlaiio	wla
怡	kwaoia	kwaoi
渗	foaoeu	foa
秃	vhuaaa	vhua
迦	jnauia	jnau
旱	wkeeii	wke
哟	kiaaeu	kiaa
咸	hieuei	hieu
焉	kyeiei	kyei
宛	spuaoa	spu
谴	qfiaei	qfi
稻	dhuoou	dhuoo
铸	gaeeeu	gaee
伽	rjauia	rja
锻	dauiee	daui
詹	gmeuuo	gme
毙	nseuao	nseu
恍	wwioue	wwio
贬	nfuoao	nfuo
烛	gyiaei	gyia
骇	wpoeau	wpo
芯	hvoaoo	hvoa
汁	goeiii	goeii
桓	wdeiae	wdei
坊	mloeau	mloe
驴	lpoaeu	lpo
朽	hdeaaa	hdea
靖	jneeie	jne
佣	kjuaee	kjua
汝	soauee	soa
碌	ltaeei	lta
迄	qnueao	qnue
冀	jrieeu	jrie
荆	jmeiie	jmei
崔	pquioe	pqu
雁	kcuiui	kcui
绅	fciaee	fcia
珊	fruaua	fru
榜	ndoeou	ndo
诵	bfaoia	bfa
傍	njoeou	njoeo
彦	kfoueu	kfou
醇	zwoeia	zwoe
笛	duiaei	dui
禽	qjoeuo	qjo
勿	stuuuu	stu
娟	jmiaei	jmia
瞄	tyeiii	tyeiii
幢	zzoeou	zzoeo
寇	cpeeua	cpee
睹	dyeieu	dyeie
贿	wfeuia	wfeu
踩	pquoou	pquo
霆	vqueie	vqu
呜	siuaae	siuaa
拱	rgeiie	rgei
妃	mmaeaa	mmae
蔑	tviaii	tviai
谕	kfuoei	kfuo
缚	mceiae	mce
诡	rfuaeu	rfua
淹	koeuoi	koeu
篷	yuuaoe	yuu
腕	ssooau	sso
煮	gyeieu	gyei
倩	qjeeie	qjee
卒	cfuouo	cfuo
勘	cweiie	cwei
馨	hlaieu	hlai
逗	dneiae	dnei
甸	dtiaei	dti
贱	jfeeau	jfeea
炒	zyiuou	zy
灿	pyiaii	py
敞	zyioui	zyi
蜡	leeiie	leei
囚	qhuooo	qhuo
栗	lweiuo	lweiu
辜	rlouee	rlou
垫	dleieu	dlei
妒	dmoaeu	dmo
魁	clooei	cloo
谣	kfuoou	kfuoo
寞	tpeiii	tpe
甩	fsaaaa	fsa
蜀	feuaia	feua
枕	gdoaua	gdoa
涯	koeuei	koeue
丐	reieaa	rei
泳	kooaau	kooa
奎	cieiee	ciei
泌	tooaou	too
逾	knuoei	knuoe
叮	dieiii	dieii
黛	dluiea	dlui
燥	cyiaei	cyi
掷	ggouee	ggou
憎	cwouia	cwou
枢	fdeuoa	fdeu
藉	jveeei	jvee
鲸	jzoeia	jzo
弘	whaooo	whao
倚	kjeuoe	kjeuo
侮	sjueaa	sjue
藩	mvooeu	mvoo
拂	mgaeau	mga
鹤	wnoaui	wno
蚀	fbiaei	fbi
浆	jooeiu	joo
芙	mveeuo	mveeu
垃	lloeou	lloe
烤	cyeieu	cye
晒	fkeiau	fkeia
霜	fqeiuo	fqe
剿	jmaaae	jmaa
蕴	kvaaei	kvaae
圾	jluaoo	jlua
屿	kqeaee	kqea
绸	zcuaei	zcu
氢	qcaoei	qca
驼	vpooau	vpo
妆	gsauee	gsa
捆	cgiaei	cgia
铅	qauaia	qaua
逛	rnuaue	rnu
淑	foieei	foiee
榴	lduaoa	ldua
丙	neiauo	nei
痒	kbouee	kbo
钞	zaiuou	zaiu
蹄	vqoeou	vqo
犬	qkoooo	qkoo
躬	rcaeaa	rca
昼	gqoiae	gqo
藻	cviooe	cvi
蛛	geueei	geue
褐	wpiaee	wpi
颊	jzeoue	jzeo
奠	diouei	dio
募	tweiii	twei
耽	dxoaua	dxo
蹈	dquoou	dquo
陋	lxeiau	lxeia
侣	ljiaei	lji
魅	tleeiu	tlee
岚	lquauo	lqua
侄	gjeaoe	gjea
虐	xseaee	xse
堕	dlaieu	dla
陛	nxeaua	nxea
莹	kreiio	krei
荫	kvaiua	kvai
狡	jkoeuo	jkoeu
阀	mtuiea	mt
绞	jcoeuo	jcoe
垮	cleuoe	cleu
膏	rfiaeo	rfiae
茎	jvaoei	jvao
缅	tceuia	tce
喇	lieiae	liei
绒	sceeua	scee
搅	jgoouo	jgoo
凳	dhaouu	dhao
梭	bdaouo	bdao
丫	kouiii	koui
姬	jmeiia	jmeii
诏	gfauia	gfau
钮	xaaiee	xaa
棺	rdooai	rdo
耿	rxouuo	rxou
缔	dcoeou	dco
懈	hwuaua	hwua
嫉	jmoeuo	jmoe
灶	cyeiee	cyei
匀	ktoeee	ktoe
嗣	biiaei	biia
鸽	rnuoei	rnuo
澡	coiaei	coiae
凿	clouee	clou
纬	sceeai	sceea
沸	moaeau	moa
刃	smoooo	smoo
畴	zbeeeu	zbe
遏	pniaee	pni
烁	fyuaiu	fyuai
嗅	hiuiae	hiui
叭	niuooo	niu
熬	pyeeie	pye
瞥	yyouia	yyo
骸	wwoeau	wwo
奢	fieieu	fie
拙	ggaiia	ggai
栋	ddeaiu	ddea
毯	vuouuo	vuo
桐	vdiaei	vdia
砂	ftiuou	fti
泻	hooaea	hooa
莽	tveuoo	tveuo
坪	yleoue	yle
梳	fdoeao	fdoe
晤	skeiae	skei
杉	fduuuu	fduu
稚	ghuioe	ghui
蔬	fvaiei	fva
蝇	keiaei	kei
捣	dguaoa	dgua
顷	qzeaeu	qze
麽	tbuaoo	tbu
尴	rviiue	rvii
镖	naeiai	nae
尬	rvuoui	rvu
诧	zfooau	zfo
硫	ltoeao	lto
嚼	jiuoou	jiu
羡	hsoeua	hsoe
沦	lououa	louo
沪	wooaeu	wooa
旷	ckoeuu	cko
彬	ndeiuo	ndeiu
芽	kveaiu	kvea
冥	tpiaee	tpia
狸	lkiaee	lki
碳	vtiaie	vti
咧	lieuao	lieu
惕	vwiaee	vwi
暑	fkeieu	fkeie
咯	riuaoi	riuao
萝	lviaii	lvia
汹	houoai	houoa
腥	hsiaee	hsiae
窥	cseeuo	cse
俺	pjeuoi	pjeu
潭	voeiai	voei
崎	qqeuoe	qqe
麟	lhouei	lho
捡	jguoeo	jguo
厥	jcouea	jcou
拯	ggaiau	ggaia
澄	zoaouu	zoao
哉	cieiei	cieie
萎	svueiu	svu
涡	soiaei	soia
滔	vouoou	vouo
暇	hkaeie	hka
溯	boouea	boo
鳞	lzouei	lzou
酿	xwoaee	xwoa
愕	pwiaei	pwia
茵	kviaeu	kvia
暮	tkeiii	tkei
瞅	zyueiu	zyu
衙	kteiae	ktei
诫	jfeeui	jfeeu
斧	mwuuei	mwuu
兮	hreaaa	hrea
焕	wyuaia	wyua
棕	cdooae	cdo
佑	kjeuia	kjeui
嘶	bieiie	bie
妓	jmeiao	jmeia
喧	hiooae	hio
蓉	svooau	svo
删	fmuaua	fmua
樱	kdiauo	kdi
伺	pjaeia	pjae
嗡	siuoao	siuo
娥	pmueie	pmu
梢	fdioui	fdio
坝	nliauo	nli
蚕	peeeuo	pee
敷	myeiae	myei
澜	looiae	looi
杏	hdiaee	hdi
绥	bcuoou	bcu
冶	kzaoia	kza
庇	nbeaua	nbe
挠	xgeaue	xge
搂	lgouei	lgoue
倏	fjiuao	fjiu
婉	smooau	smooa
聂	xxaoao	xxa
噪	ciiaei	ciia
稼	jhooae	jho
鳍	qzeieu	qzei
菱	lveieu	lvei
盏	gseeau	gsee
匿	xheiie	xhe
吱	gieiao	giei
寝	qpaoei	qpao
揽	lgiiue	lgii
髓	bweuei	bwe
秉	nrueae	nrue
哺	nieiae	niei
矢	faoooo	fao
啪	yieieu	yiei
帜	gziaeu	gzi
邵	fxauia	fxa
嗽	bieiae	biei
挟	hgeoue	hgeo
缸	ryeiee	rye
揉	sgaoai	sgao
腻	xseeei	xsee
驯	hpuiii	hpui
缆	lciiue	lcii
晌	fkuiai	fkui
瘫	vbaoui	vbao
贮	gfooae	gfoo
觅	tjiaua	tji
朦	tseiio	tsei
僻	yjaeui	yjae
隋	bxeuei	bxe
蔓	tviaee	tviae
咋	ciueie	ciue
嵌	qqeiie	qqei
虔	qsoeuo	qsoe
畔	ybouee	ybo
琐	brioui	bri
碟	dteiie	dteii
涩	boauoi	boa
胧	lseuau	lseu
嘟	dieieu	dieie
蹦	nqiaiu	nqi
冢	gpeuau	gpeu
浏	looeuo	looe
裔	kpiauo	kpiau
襟	jpeiuo	jpei
叨	diauuu	dia
旭	hkuaia	hkua
诀	jfaeuo	jfae
虾	heeioo	heei
簿	nuooee	nuo
啤	yiuiae	yiu
擒	qguooe	qguo
枣	ceiaiu	ceia
嘎	rieuia	rieu
苑	kvuaoa	kvua
牟	tlueei	tlu
呕	pieuoa	pieu
骆	lpuaoi	lpua
凸	vhieia	vhi
熄	hyuiae	hyu
兀	sfeuaa	sfe
喔	piaeue	piae
裳	fpiouo	fpio
凹	phiaia	phi
赎	ffeiao	ffeia
屯	veaiaa	ve
膛	vsiouo	vsi
浇	joeaue	joeau
灼	gyuaoo	gyuao
裘	qpeioe	qpei
砰	yteoue	yte
棘	jeiaiu	jei
橡	hduaia	hdua
碱	jteuei	jteu
聋	lfeiie	lfeii
姥	lmeieu	lme
瑜	kruoei	kruo
毋	snaaue	sna
娅	kmeiio	kmei
俏	qjioui	qjio
沮	joiaee	joi
萌	tviaee	tviaee
黯	ploeou	plo
撇	ygouia	ygou
粟	bwouei	bwo
尹	kruuuu	kruu
粪	mmeiie	mmei
苟	rvuaia	rvua
癫	dbeiia	dbe
蚂	teaaee	tea
禹	kuiaei	kui
廖	lbaoea	lbao
俭	jjuoeo	jjuo
帖	vzieia	vzi
煎	jyouei	jyo
窦	dseiao	dsei
缕	lcouei	lco
簇	puoeau	puoe
棱	ldeieu	lde
叩	ciaiii	ciai
呐	xiiauo	xii
瑶	kruoou	kruoo
墅	fliaee	fli
莺	kneiio	knei
烫	vyooea	vy
蛙	seeiee	seei
伶	ljuooa	ljuo
歹	dpoooo	dpo
葱	pvuauu	pvuau
哮	hieieu	hieieu
眩	hyoeaa	hyoe
坤	cliaee	clia
廓	cboeia	cbo
讳	wfeeai	wfee
啼	vioeou	vioe
乍	gueiee	gueie
瓣	neuuao	neuu
矫	jaueuo	jaue
枉	sdeeie	sdee
跋	nqeuao	nqe
梗	rdeiae	rdei
厕	pciauo	pci
琢	creuau	cre
讥	jfuaaa	jfua
釉	kuiaei	kuia
窟	csaeua	csa
敛	lyuoeo	lyu
轼	fkeeie	fkee
庐	lboaeu	lboae
胚	yseuio	yseu
呻	fiiaee	fiia
绰	zcieia	zci
扼	pgeuaa	pgeu
懿	kleiae	kleia
炯	jyiaia	jyi
竿	rueeii	ruee
慷	cwoeua	cwoe
虞	ksiaee	ksia
锤	zaueie	zau
栓	fduoee	fduo
桨	jdoeiu	jdoe
蚊	seoeuo	seo
磅	nteoeo	nteo
孽	xvuiae	xv
惭	pweaie	pwe
戳	ziaoea	zia
禀	nfiaia	nfi
鄂	pxiaei	pxi
馈	cbiaei	cbi
垣	kleiae	kleiae
咚	diuaoo	diu
溅	joiauo	joia
礁	jtuioe	jtu
钙	raeiea	rae
彰	ggoeou	ggoeo
眯	tyouei	tyou
豁	wpiaeu	wpia
磷	ltouei	ltou
雯	sqoeuo	sqo
墟	hlieau	hlie
迂	kneeio	knee
瞻	gyuaeu	gyuae
颅	lzieae	lzie
琉	lroeao	lroea
悼	dwieia	dwi
蝴	weeiia	weei
拣	jgeaau	jgeaa
渺	toiaee	toia
眷	jyouee	jyou
悯	twoiao	twoi
汰	voeuoo	voeu
慑	fweiie	fwei
婶	fmooai	fmo
斐	mfieee	mfi
嘘	hiieau	hii
镶	haoeia	hao
炕	cyoeua	cyo
宦	wpeiae	wpei
趴	yquooo	yqu
绷	ncuaee	ncu
窘	jsaeeu	jsae
襄	hfiaei	hfia
珀	yruiae	yru
嚣	hiiaee	hiia
拚	ygaoeu	ygao
酌	gwuaoo	gwu
毓	kueaao	kue
浊	goiaei	goiaei
嗜	fieieu	fiei
撼	wgeuei	wge
扛	cgeiee	cge
峭	qqioui	qqi
磕	cteiea	ctei
翘	qzeaue	qzea
槽	pdeiae	pdeia
栅	fduaua	fdua
淌	voioui	voi
熏	hyueia	hyue
瑛	kreiii	kreii
颓	vzueiu	vzu
忖	pweioo	pwei
颐	kzeiia	kzei
牡	txeiee	txei
缀	gcaoao	gca
徊	wtiaia	wtia
梨	ldueiu	ldue
肪	msoeau	mso
涕	voouae	voo
惫	nliaei	nlia
摹	tgeiii	tgeii
踱	dqoeue	dqoe
肘	gseioo	gseio
挚	ggeieu	ggeie
熔	syooau	syo
氯	lcaeei	lcae
凛	lzoeia	lzoe
绎	kcaoee	kcao
庶	fbeiie	fbe
脯	yseiae	ysei
睦	tyeieu	tyeie
迭	dnueeu	dnu
窍	qseiee	qsei
粥	ghouei	gho
庵	pbeuoi	pbe
沧	pouoaa	pouo
奕	kioeui	kioe
怠	dwaoia	dwa
沁	qooaoo	qooa
咙	lieuau	lieua
氨	pcooaa	pco
矗	zleeii	zlee
盔	cseuou	cseu
拇	tgaaoe	tga
沛	yoeiai	yoeia
榻	vdiaee	vdiae
揣	zgiaie	zgia
崭	gqeaie	gqea
鞘	qkioui	qkio
鞠	jkuaou	jkua
垦	claeea	claee
唾	viueie	viue
洽	qouoei	qouo
橱	zdeuei	zdeu
仕	fjeiee	fjeie
蜘	geueeu	geuee
痰	vbouuo	vbo
袜	speeiu	spe
峙	gqeiee	gqei
柬	jeiaou	jeia
蝉	zeouia	zeo
蟹	heuaua	heu
谏	jfeiao	jfeia
擎	qgeiiu	qge
鹃	jniaei	jniae
皓	wkueie	wkue
朕	gsouee	gso
疤	nbaiea	nba
禺	kkaieo	kka
铲	zaoeou	zao
酶	twueaa	twue
钝	daeaia	daea
匣	hhiaee	hhia
氓	tfaaea	tfaa
弧	whuuao	whuu
峨	pqueie	pque
锥	gauioe	gau
揪	jgueiu	jgue
杠	rdeiee	rdeie
吭	cioeua	cioe
崛	jqaeua	jqae
诬	sfeiuo	sfei
冉	shieee	shi
抒	fgaoai	fga
庚	rbaeeu	rba
悍	wwiaee	wwia
靡	tbieee	tbie
晦	wkueaa	wkuea
醋	pweiie	pweii
壕	wloeia	wloe
夭	kueuoo	kueu
锯	jaaeue	jaae
咦	kieaea	kieae
侈	zjuaou	zjua
婢	nmuiae	nmu
猾	wkiaao	wkia
徘	ytieee	yti
硝	htioui	htio
煽	fyoaeu	fyoa
皂	ckeaaa	ckeaa
嗦	bieioa	bieio
舵	drooau	dro
狈	nkiauo	nkia
靴	hkuiua	hkui
捂	sgeiae	sgei
疮	zbuoaa	zbuo
郝	wzaiii	wza
苛	cveiae	cvei
秽	whiaiu	whiai
茜	qveiau	qv
搓	pgouee	pgou
芸	kveeao	kvee
赁	lfuiue	lfui
酱	jwoeiu	jwoe
檐	kduaeu	kdua
饷	hbuiai	hbu
蕉	jvuioe	jvui
铀	kaiaei	kai
苔	vvaoia	vva
赦	fzueuo	fzue
缎	dcuiee	dcu
舷	hroeaa	hroe
筷	cuooia	cuo
朔	fsouea	fsou
婪	lmeiuo	lmei
紊	sfoaao	sfo
厮	bceiie	bce
婿	hmaieu	hma
寥	lpaoea	lpa
兢	jliaeu	jliaeu
糙	pmueie	pmue
卦	roeiee	roei
槐	wduiae	wdu
扒	nguooo	nguoo
裴	ypieee	ypi
祀	bhaeaa	bhae
埔	yleiae	ylei
絮	hcauei	hca
芭	nvaiea	nva
屉	vqeiie	vqei
痪	wbuaia	wbu
霄	hqioui	hqio
绽	gcooae	gco
宵	hpioui	hpio
邑	kiaiea	kiai
霖	lqeiuo	lqei
岔	zquoau	zqu
茄	jvauia	jvau
饵	pbeiie	pbei
韧	sqauoo	sqa
琪	qreiie	qrei
邹	cxuaae	cxu
瑚	wreiia	wrei
憋	nwouia	nwou
殆	dpaoia	dpa
噜	liuaia	liu
忒	vweoao	vwe
忿	mwuoau	mwuo
衅	hhouee	hhou
淳	zooeia	zoo
悖	nweioa	nwei
髦	tqueea	tque
孜	chueuo	chu
粤	kuiaou	kuiao
隘	pxoueu	pxou
濒	noieie	noi
铮	gauaae	gaua
畸	jbuoei	jbuo
剔	vmiaee	vmia
坞	sluaae	slua
篱	luoeuo	luo
淀	doooae	dooo
蓦	tpeiii	tpei
唬	wiieau	wiie
汀	voeiii	voeii
趾	gqieie	gqi
锣	laiaii	lai
嫦	zmiouo	zmi
缉	jciaee	jciae
斟	gjeiie	gjei
鞍	pkooaa	pko
扳	nguuao	nguua
拴	fguoee	fguoee
诅	cfiaee	cfiae
谟	tfeiii	tfe
呃	pieuaa	pieua
懦	xweoai	xwe
忏	zwueii	zwue
犁	lxueiu	lxue
逞	zniaee	zni
拧	xgooae	xgo
亥	wfauuo	wfau
佟	vjuaoo	vjua
叱	ziuaaa	ziuaa
舜	fjoaua	fjoa
绊	ncouee	ncou
龚	rfeiie	rfe
腮	bsiaei	bsi
邸	dxuaea	dxua
椒	jdieei	jdi
蔚	svaeue	sva
湛	goeiie	goeiie
狩	fkooae	fko
眶	cyeeei	cyee
栈	gdeeau	gdeea
薇	svuuii	svuu
肮	psoeua	pso
瀑	yoiaee	yoi
渣	goeiuo	goeiu
褂	rpeiee	rpei
叽	jiuaaa	jiua
臀	vsaeue	vsae
妞	xmaiee	xmai
巍	squeiu	sque
唔	sieiae	sieia
疚	jbuaoo	jbuao
戎	sieeua	sieeua
鲤	lziaee	lzia
肇	gmoaeu	gmo
笃	duaaee	dua
娴	hmoiae	hmoi
辙	gkoeao	gko
札	gdaaaa	gda
阮	sxeeua	sxee
懊	pwuiao	pwu
焘	dyeeeu	dyee
恤	hwuiai	hwui
疹	gbuouu	gbu
潇	hoeiia	hoeii
铝	laiaei	laia
涤	douaoe	dou
喽	liouei	lio
恃	fweiee	fweie
砌	qteaau	qte
楞	ldiaii	ldi
遁	dnuuei	dnuu
阱	jxeeui	jxe
咎	jiuaoi	jiuao
洼	soeiee	soeie
炳	nyeiau	nye
噬	fiueou	fiue
拷	cgeieu	cgei
枫	mduauo	mdua
哆	diuaou	diua
矶	jtuaaa	jtua
苇	sveeai	svee
翩	yzoaeu	yzo
窒	gseaoe	gsea
侬	xjoaua	xjo
胰	kseaea	ksea
靶	nkaiea	nka
芜	sveeua	sveeu
嚎	wioeia	wioei
妾	qnauee	qna
辫	neaaeo	nea
幌	wziaee	wzi
踉	lqoaee	lqo
佃	djiaei	djia
葫	wveiia	wve
拽	ggiaee	ggiae
皖	skooae	sko
滤	loieau	loie
睬	pyuoou	pyu
俞	kjeiae	kjei
匕	nuaaaa	nua
嗤	ziiaie	ziiaie
谤	nfoeou	nfoe
捍	wgiaee	wgi
孵	mjuaou	mjua
倪	xjuiea	xju
瘾	kbaiua	kbai
匡	cheeie	chee
敝	nyouia	nyo
磋	ptouee	ptou
绫	lceieu	lcei
尧	kfeaue	kfeau
淆	houoeu	houoe
蕊	svoaoo	svoa
烘	wyeiie	wyei
璋	groeou	groe
亢	cfuaaa	cfua
轧	kkaaaa	kkaa
赂	lfuaoi	lfua
榆	kduoei	kduo
蝗	weuiae	weu
诛	gfueei	gfuee
骏	jpaouo	jpao
勺	ftoooo	fto
梵	mdeiuo	mde
炽	zyiaeu	zyia
笠	luoeou	luoe
颌	wzuoei	wzu
闸	gtiaee	gti
狒	mkaeau	mka
樊	mieiuo	miei
垢	rluuei	rlu
瘟	sbiaee	sbi
缪	tcaoea	tca
菇	rvauee	rva
琦	qreuoe	qreu
剃	vmouae	vmou
溺	xoaeao	xoa
炫	hyoeaa	hyoea
迸	nnouee	nnou
惚	wwuauu	wwua
嗨	wiooeu	wioo
陨	kxiaei	kxiae
赃	cfoeue	cfoe
羁	jeeiie	jeei
嘀	dioeou	dioe
臻	geaoei	gea
膳	fsouee	fsoue
赣	rniaee	rnia
殉	hpuaia	hpua
踌	zqeeeu	zqe
桔	jdeiei	jde
瞿	qeiaee	qei
闽	ttiaei	tti
豚	vseuau	vse
掺	pgaoeu	pgao
沌	doeaia	doe
喳	gieiuo	gieiu
惰	dweuei	dweu
椭	vdaieu	vdai
咪	tiouei	tiou
霎	fqoeou	fqo
侃	cjiaeu	cji
猝	pkoeuo	pkoe
戮	liaoea	lia
窖	jsueie	jsue
祠	phaeia	pha
瞩	gyaeuu	gya
菁	jveeie	jveei
佬	ljeieu	ljeie
躇	zqeiie	zqei
咄	diaiia	diai
肋	lsauuu	lsau
忡	zwiaei	zwi
雍	kfaauu	kfaa
忱	zwoaua	zwoa
蕾	lveoai	lveo
跄	qquoaa	qqu
伎	jjeiao	jjeiao
硅	rteiee	rte
炊	zyuauo	zyua
钊	gaiiii	gaii
蝠	meeiae	mee
屎	fqouei	fqou
拭	fgeeie	fgee
谛	dfoeou	dfoe
褪	vpaeea	vpa
丞	zeaiau	zea
卉	wleuii	wleu
隧	bxoueu	bxo
茸	sveiie	svei
钳	qaeiie	qae
伢	kjeaiu	kjea
啃	ciieie	ciie
舔	vueeuo	vue
闺	rteiee	rtei
蹬	dqaouu	dqa
挛	lgoeii	lgoe
眺	vyuoea	vyu
袱	mpuieu	mpu
陇	lxeuau	lxeu
柿	fdoeia	fdoei
殴	pheuoa	phe
梧	sdeiae	sdei
惺	hwiaee	hwiaee
侥	jjeaue	jjea
弛	zhaiaa	zha
琛	zroauo	zro
捅	vgaoia	vgaoi
酝	kweeao	kwee
薯	fviaii	fvi
曳	kkauuu	kkau
澈	zooeao	zooe
锈	haueiu	haue
稠	zhuaei	zhua
眸	tyaoue	tyao
咆	yiuaae	yiua
簧	wueiie	wue
疡	kbauuu	kbau
鸥	pneuoa	pne
渎	doeiao	doei
嬉	hmeiei	hmei
汲	jouaoo	joua
脓	xsoaua	xso
穗	bheiae	bhe
骡	lpiaei	lpia
巳	braeaa	bra
拎	lguooa	lguo
槛	cdiiue	cdii
邢	hxeeui	hxee
廿	xveeee	xve
搀	zguaia	zgua
曙	fkiaii	fkia
樵	qduioe	qdui
隅	kxiaee	kxiaee
筛	fuiuei	fui
谒	kfiaee	kfi
倭	sjueiu	sjuei
痹	nbiaei	nbia
猖	zkiaee	zkia
佯	kjouee	kjoue
奚	hjaaoe	hja
肛	rseiee	rsei
抨	ygeoue	ygeo
甭	nfeuio	nfeu
蛾	peueie	peue
唠	lieiio	lieii
嵩	bqoeia	bqo
荧	kyeiio	kyeii
漱	foeiae	foe
攘	sgoeia	sgoe
诘	jfeiei	jfeie
酋	qreiau	qreia
篡	puiaee	pui
睿	syieoa	syi
噩	peiiae	peii
怅	zwueao	zwuea
徙	htieie	htie
盎	psiaeu	psia
鞅	kkiaeu	kkiae
漓	looeuo	looeu
祟	bhaiia	bhai
攸	kjiueu	kji
睫	jyeaee	jyea
翎	lzuooa	lzuo
呛	qiuoaa	qiu
堑	qleaie	qlea
檀	vdoeia	vdo
筐	cueeei	cue
寅	kpeiae	kpei
惘	swiaou	swi
磊	lteuia	lte
驭	kpoooo	kpoo
吠	mieuoo	mieu
驮	vpeuoo	vpe
瑙	xraaau	xra
炬	jyeaea	jyeae
痉	jbaoei	jba
恺	cwiaia	cwi
曝	ykiaee	yki
敕	zyeiae	zye
胺	psooaa	psoo
萤	keeiio	keei
筝	guuaae	guua
幡	mzuoue	mzuo
竺	gueeee	guee
霹	yqaeui	yqa
毗	ybeaua	ybea
烙	lyuaoi	lyua
鸠	jnuaua	jnua
埠	nluiae	nluia
蒜	bveeiu	bve
阜	mluiae	mlu
嘈	pieiae	piei
乒	yuieie	yui
帷	szuioe	szui
啄	gieuau	gieu
鳌	pzeeie	pzee
毡	guieia	guie
阙	qtouea	qto
褥	speuee	speu
搔	bgaooi	bgao
笋	buaeeu	bua
冕	tkuaia	tku
狞	xkooae	xko
韶	fgauia	fgau
骼	rwuaoi	rwu
蔼	pvoaia	pvoa
烹	yfiaea	yfi
奄	kiiaee	kiiae
嫖	ymeiai	yme
沐	toeiuo	toeiu
噗	yiiiou	yii
岑	pquooa	pquoo
蛟	jeoeuo	jeoe
咏	kioaau	kioa
弩	xhauea	xha
掳	lgieau	lgie
圃	yheiae	yhe
孚	mjaiee	mja
捻	xguooa	xgu
悴	pwoeuo	pwoe
