jezm 江泽民
zogd 总纲
fvsl 发展是硬道理
hljb 汗流浃背
hjvk 寒战
kgvl 困住
mbhg 每回
qqds 确切地说
rmgx 人脉关系
rmpy 人民陪审员
susv 收税
tqdl 通情达理
wydd 无底洞
xcvk 醒着
kwcr 有出入
zhfa 子房
bzbz 粑粑
biwv 班委
dhhs 断后
ffzl 犯罪率
ggzj 国子监
hjcp 寒窗
hpgz 和平共处五项原则
hpkq 很有钱
hlhq 晃来晃去
jcse 静水
ktxs 看小说
qadp 千岛
qklz 钱粮
tslk 唐老鸭
tnjn 头奖
wrqt 误入歧途
xkkt 相看
bjke 被淹
crzh 册子
dusr 灯丝
fpsq 封死
gghi 国花
jvbg 禁闭
jese 浸水
kssy 口算
lqbs 篮球比赛
qnbd 牵绊
qmfp 切分
qfjr 请柬
sumg 数码管
svqk 私权
sahz 索贿
tjkt 塔吉克斯坦
xhbi 戏班
klpd 一律平等
kyfk 踊跃发言
kbrl 有备而来
dpcj 岛城
dbfz 毒贩
rbjj 而不仅仅
fpsv 分神
pwki 胚芽
qodo 拳打
skcn 生辰
sjle 声浪
xjqi 学琴
zjxi 增选
znxs 自序
bngk 不管用
cldv 传动轴
fhxu 发下
gtdp 高得
glps 供品
jsgw 坚守岗位
jivd 进纸
tilf 通论
wvpj 委培
waxk 斡旋
yjvs 远见卓识
bcqk 白旗
gwrx 鼓舞人心
gdgi 瓜葛
hbxg 毫不相干
hhsw 虎虎生威
hojm 挥剑
jksk 捷克斯洛伐克
lkdq 榴弹
qehe 浅海
qode 情动
rjhv 人迹罕至
roro 揉揉
stst 省省
tgsk 同生
xwng 嬉闹
xqkk 希区柯克
xzcr 贤才
xjtd 宣统
yjwn 乐舞
zovy 总重
dibj 递补
dzky 电子音乐
dggo 都怪
fcrx 非常荣幸
mkxv 梅香
nojb 拟将
qfvk 千分之一
qssk 庆生
setj 沙头角
slbp 伤兵
skmt 施密特
tgtj 陶土
tgml 图们
wmlr 晚来
kndt 一年到头
kwcx 有出息
vvww 支支吾吾
vyhk 专横
dnki 大英
dbwq 担保物权
dsdw 底端
gllb 佝偻病
ggtl 国体
jjbc 坚冰
jnkc 久矣
mqlf 弥勒佛
mkmr 棉麻
nsbg 哪部
poji 扑进
shcj 圣城
kajc 已决
volr 挣来
rmhg 澳门回归
brbg 百部
jhgj 鸡冠
jclv 净利
lfdi 论道
qvky 群众演员
shzf 生活作风
sfji 驶进
sxww 石屋
sojb 手巾
cism 菜色
cglf 豺狼
dnys 大元帅
gkzh 杆子
gotw 怪胎
hlke 合演
ldsj 劳动时间
mvyk 某种原因
qamx 启明星
tkxk 特效药
xdbx 细胞学
kayg 已阅
zmco 早操
bnmo 奔忙
bnqt 不弃
cqrh 残奥会
ccgk 匆匆过客
dpcv 短程
rocl 恩仇
gmkt 刚看
qocl 情仇
sjme 塞满
sszh 哨子
shdl 受得了
kbgy 严管
voqj 撞墙
djdr 打架斗殴
dlkc 倒要
ddqq 的的确确
jrmg 几门
juvu 煎炸
lwri 脸儿
ltjd 六经
lsls 喽啰
qkfq 轻言放弃
shlm 所罗门
tkcc 梯次
wbwn 万般无奈
wjbf 万劫不复
kivo 一折
vukk 赵匡胤
voxc 忠县
bijh 苯基
goxo 攻心
kycx 开创性
migs 玫瑰色
mmky 明艳
nckf 能言
rlpg 人皮
syxc 三鲜
sjrj 少而精
svks 慎之又慎
wife 王法
wwqp 屋前
xhlw 新立
kkss 洋洋洒洒
kkgv 一以贯之
vsqi 中气
ddvz 道德准则
dfzp 独尊
jjdj 豇豆
jwqw 娇妻
jkss 金饰
ljvj 老宅
medm 没电
mbzs 每座
skjh 杀鸡
xujr 下界
xsxs 嘘嘘
kbko 严控
kywn 艳舞
ygdh 圆顶
vuvx 赵忠祥
vcxm 准星
mwqk 妙棋
bnxp 北行
bock 必成
czxm 彩显
fqlf 翻两番
hhdl 蝴蝶兰
jdnt 纪念堂
kjcc 客舱
mgzh 门子
mhjn 孟姜女
nhko 难掩
qljg 权力机关
sgjq 时过境迁
timm 通明
tolz 投料
wdvr 纹章
wkfk 无可非议
xkgk 相告
zkdl 栽倒
vbsu 帧数
zzgs 资格赛
bjta 被踢
fjde 风动
hblt 活蹦乱跳
jjpz 家贫
jdks 经营商
lcxs 凉席
lqsu 列数
mkkx 眉开眼笑
nsns 哪呢
nkbf 那一部分
qtwx 千头万绪
qdfo 轻拂
rndi 入道
xhli 奚落
zlly 佐罗
dphl 德黑兰
fekg 汾阳
gtjt 高就
jmjo 剪接
ljdn 老大难
ljkd 老一代
lfjs 雷锋精神
novi 念珠
ruhu 热火
rlrg 人耳
segs 深广
tosu 抬上
wrkf 五言
kxqg 英雄气概
vxmk 砧木
vgws 中国武术
rjfg 安防
gpgg 公国
guxm 卦象
kebz 溃败
qlbh 趋利避害
selv 势利
xpds 行道树
ketk 油桶
zkcs 钻床
covk 操着
fuvf 复诊
gvyv 公之于众
jemm 加冕
jjkj 家宴
mlss 名利双收
plbn 偏不
srqk 私人企业
xmsm 显色
koqi 扬琴
ktkc 亦要
visa 这扇
jwgn 胫骨
jxle 角力
lrbi 两班
ltkt 亮眼
lkmm 林妹妹
nacx 南朝鲜
plyi 佩玉
qlfc 倾覆
suvr 数丈
tldx 偷东西
wyrh 无爱
xlbr 迅雷不及掩耳
besr 波束
dnsl 大森林
fndx 非典型
htqq 豪强
kvxs 科学史
ldxv 练习者
lkvk 柳枝
mtdl 摩天大楼
psmt 品目
qrkl 强而有力
sakq 十块钱
snwt 释文
sgbn 随便你
tiqp 通衢
kklw 杨利伟
ycqk 鱼群
vvvx 只争朝夕
rths 哀号
bnzc 不醉
hpjg 黄牌警告
kyvx 客运中心
liby 落笔
mssm 没说什么
qcci 青葱
katl 异体
zkjf 杂记
virm 这日
visp 这山
cwzl 产仔
dmhl 电话铃
rywv 尔虞我诈
htdx 哄堂大笑
hblw 厚脸
jdrd 较软
jdgv 紧箍咒
mozu 慢走
pymw 篇名
qnvo 奇招
svzj 神宗
slsb 生离死别
sdke 输油
stkv 瞬移
xycf 心悦诚服
ktkk 一天一夜
cqvg 残障
boky 掰开
jkvj 金装
lezu 流走
lwkw 屡有
qexr 泣血
qsrt 全身而退
wyks 未可
wnnw 舞娘
yygh 郁郁寡欢
vxdw 珍稀动物
hgld 回了
cdkg 承印
fkxg 方向感
fmsl 副使
husx 火石
huks 火焰山
mmri 明儿
xjme 小满
xjzb 写字板
kcss 野史
kghm 隐晦
ykvr 语言障碍
zosf 左上方
dwjc 多继承
frsl 凡士林
jdxl 纪晓岚
jcdp 静待
lgsp 灵兽
mrki 麻药
qksv 潜意识中
sjfp 塑封
todo 推掉
krvr 意中人
bcgj 白骨精
bbxd 布线
hshe 后汉
hwsr 胡塞尔
josc 急刹车
qjrl 情节恶劣
spss 寿山石
tlxb 体细胞
vnbd 竹编
bktx 不可推卸
cxkv 持续快速增长
cuzh 处子
dewx 动物学
famg 疯魔
gphg 公函
gjsf 光说
hrwk 画外音
jwld 家务劳动
llvv 牢牢抓住
mgkt 麦芽糖
mlkh 睦邻友好
psjp 啤酒瓶
tybl 天保
trgj 田埂
tyna 天南
tgci 同出
xwkf 嫌疑犯
xxwz 象形文字
xibc 薛宝钗
yoso 援手
bohh 悲欢
cesy 测试员
hzks 糊口
jekk 加油卡
kyth 开题
ktda 看跌
lrgi 略过
scgm 神出鬼没
sjvs 神经中枢
xjyp 学院派
kxmk 硬木
boco 抱持
btlc 变冷
cnsf 长诗
jdch 经此
krmx 抗日民族统一战线
merg 没人管
qusr 起事
wrqh 万顷
xlsh 希腊神话
bcsh 白蛇
djlj 地牢
gqks 感情用事
hodp 恨得
hykd 毁于一旦
hukw 火药味
jdgs 结构式
ngvb 内政部
slkt 傻丫头
shdi 圣道
svpc 税票
teru 泰然
wyxw 无线网
wyhl 物欲横流
xkhd 羞红
vxhs 震后
zkfy 左右逢源
bibi 薄薄
dixo 道心
gats 古铜色
gsye 广源
hlvk 合着
rnsp 入山
smcj 申城
shxp 双行
xlws 闲来无事
xvgd 香瓜
xdps 绣品
zvks 在职研究生
jzvm 精制
bcsd 白纱
ccvx 参照系
cice 赤潮
doqu 担起
jrdr 几朵
jerl 加人
jgss 金光闪闪
ldqi 练琴
lnxz 卵形
mtfw 漫天飞舞
nbkr 怒不可遏
qjtk 曲径通幽
snsn 是男是女
wkru 枉然
kjfx 已经发现
bnwm 不晚
dugg 敌国
hjnl 害你
hrmi 黑莓
jrld 几轮
jlqv 今秋
ltdd 六段
ngpg 内皮
nwld 腻了
qgsx 全国上下
tyks 天呀
vskb 中译本
cakf 痴狂
cslt 赤身裸体
dokj 打垮
dhvz 对质
dwnl 多拿
fhkc 反义词
hwdd 好斗
hdvd 红纸
joje 接济
ledi 浪荡
lfll 狼来了
lbgg 厉鬼
ldlc 龙鳞
stdo 省掉
shju 圣教
ttcj 淘汰出局
tijw 通奸
xuda 下蛋
cezy 沉醉于
chjs 此君
dntg 大团
duhl 敦化
fksj 方士
ghgh 蝈蝈
jwml 姐妹俩
jgfj 巨富
jggj 聚光
mxby 码表
trbp 屯兵
wgwi 魏王
zkzj 栽在
vnji 竹节
zjkn 字义
zdhu 纵火
zdvh 组织化
sidi 速递
xdgk 斜杠
brvk 百战
cbnx 寸步难行
dgdh 丹顶鹤
drbh 东北虎
jdkc 紧要
mwhi 名花
nmqp 暖气片
pjxs 飘向
qpci 前出
qtqk 鹊桥
rwkk 让我看看
tvjz 天之骄子
xkpp 汹涌澎湃
vala 支路
vivo 主抓
vysy 专署
cygj 财源广进
dlts 大浪淘沙
khqx 抗洪抢险
posg 排水沟
pcck 盘查
sbrs 生不如死
xdpg 续聘
vkzh 镇子
bpmr 八面
bbdi 布道
caxu 踩下
cumz 炒米
cixh 出戏
dpfb 单幅
dblb 毒辣
fhjg 发际
fnbn 非不
frxx 凤霞
hrtw 骇人听闻
hltq 合同期
hgtl 回头率
qjhu 去火
shlh 受领
wtfx 问题分析
badl 病倒
bcpd 冰片
doyc 打鱼
fhch 发颤
gjrh 感觉如何
hemw 海明威
lkyd 留有余地
mfth 谜题
pmfl 屏幕分辨率
shtn 蛇头
sjbv 身经百战
tkdo 铁打
wstj 味甜
kccu 野炊
zols 总领事
dfgy 地方官员
dvdk 斗智斗勇
gkdm 告到
hhcc 花花草草
hixu 花下
hici 荒草
jusk 救生衣
mdvm 民智
njnw 农奴
wzqh 万紫千红
xhsf 叙说
xhwf 循环往复
ylhm 余晖
zvds 在这点上
bccs 白吃
bwzg 保卫祖国
cnla 长路
dldw 独来独往
fhdv 发电站
gjcc 国家财产
mksj 美食家
nash 南三环
nkxx 难以相信
svhn 视乎
spbj 视频编辑
siqo 世情
xfsj 西方世界
xkda 咸蛋
khjj 友军
ybcj 原初
vfwa 猪瘟
zkjq 钻进去
rgmi 阿玛
btyj 悲痛欲绝
cqbq 残缺不全
djkp 当空
gnxx 故弄玄虚
jepa 洁癖
sjkj 实业家
wsvf 喂猪
vgxz 阵形
shjd 双精度
bjbc 笔记本电池
cmvv 臭名昭著
djqk 地球仪
dusu 煅烧
jmfp 晋封
ltld 龙头老大
skkq 盛况空前
tjfw 土肥
xlsj 侠士
xjsk 小生意
kekj 亚裔
kwqt 有前途
vejw 注脚
hpdd 黄赌毒
bccc 白醋
dnbt 大半天
ggxj 国小
hewb 海外版
heci 活出
ljnr 老女人
qtvy 弃置
rrqs 弱肉强食
soqi 手球
teme 涂满
wfpm 误判
vudo 炸掉
jibc 茭白
cuxm 超星
godh 挂电话
gjgj 光棍节
sygh 三观
skkj 数以亿计
wivj 王昭君
xfcy 献策
xoqi 心气
kgds 一个都不能少
bjql 补全
rghd 阿訇
boxf 拜谢
ciks 草叶
djgf 党纪国法
hsxo 后心
hghg 回函
huxg 火险
lwfy 立法院
lkxk 另眼相看
lrbc 留白
pfli 评理
sudd 上段
ssla 食疗
svsj 速战速决
wwzh 娃子
wsdy 吾等
zcwg 早出晚归
bnjx 半角
czbd 操作不当
jrqu 几起
sugj 收割机
tflz 讨论组
xikk 逍遥游
kwqi 有气
kscr 有所出入
ygvt 圆柱体
vnnw 长女
fsdy 府第
bpqk 兵权
cmkh 创刊号
rgjg 耳际
ffhh 风风火火
gyzj 干燥剂
gkgk 梗概
jidh 近代化
jsws 举世无双
ktde 看淡
liwe 荔湾
lrql 两全
lksl 旅舍
nwks 嫩叶
scdh 石沉大海
ssnd 四十年代
tnrl 头人
wfvk 万分之一
kkwj 引以为戒
bajz 卑贱
ctct 瞅瞅
clxl 储蓄率
fqkg 翻印
fzcz 粉彩
gams 古庙
geda 滚蛋
mknj 棉农
qixv 气象站
svvl 示众
todk 提档
kirz 一而再
vuql 政企
vido 追悼
zyqf 奏请
hijp 花卷
bbxt 并不相同
dqjs 打起精神
dpsh 单身汉
jttx 交通线
lpri 兰若
lfbb 论辩
qcdj 青豆
stcw 商朝
sfcf 誓词
xkzz 逍遥自在
zsbx 在所不惜
vkxy 中央戏剧学院
bopr 扳平
fsvn 腐竹
hvsf 和诗
jtjs 家庭教师
jjsj 尖声
limi 蓝莓
muks 灭口
mvwx 明治维新
qpgd 穷光蛋
rldr 人丁
smji 删节
spyi 山芋
swjx 事无巨细
wrro 万恶
knkj 义勇军
vuxm 占星
vmnt 智囊团
zcxo 醉心
jfsk 计生
btsl 变色龙
bvrg 宾至如归
dwlr 多虑
fejf 法警
gghe 鬼混
jxyw 九霄云外
jmsv 剧社
lgcm 隆昌
mgdt 摩根大通
nwvu 女贞
qkjw 群居
whsk 忘乎所以
xjje 喜酒
xqlm 贤妻良母
klxs 依序
vpqs 招聘启事
vsrc 正是如此
vksq 中央商务区
rold 恶龙
gjxu 光效
jlkm 仅由
mlqs 毛里求斯
wocw 我朝
xcqj 西去
xmgz 显贵
hpzw 很脏
lrfa 两房
psdf 品读
prtn 平躺
trjh 田鸡
rjsk 安生
bjbs 不见不散
ckdh 查对
colt 抽离
dbdn 带大
duzs 灯座
fhdc 发大财
hlkz 会赢
hwsl 婚俗
ltkj 刘墉
mzvc 民族政策
pfcv 破釜沉舟
sndj 失当
wrnj 万宁
whdl 武大郎
xdhl 细化
xerk 洗染
xvci 香茶
xlxj 修宪
xsxd 迅速行动
vpmb 知母
qxym 取信于民
bcqi 冰球
hcst 酣睡
lsjk 老少皆宜
medl 没道理
qmtc 骑摩托车
qrje 黔江
shks 社会意识
tfkr 调音
tbjd 厅级
kssf 一式四份
yeci 源出
zjbp 增兵
vdlj 终老
cvxy 程序猿
dckj 多此一举
hdqj 红墙
hesx 滑石
jlmx 价码
jmtx 甲天下
jiht 菊花台
pzzv 彭祖
svlg 私聊
khkp 页岩
kimq 一毛钱
ywsv 月神
yyjg 云间
vsjj 中举
bnpw 半瓶
bnmf 奔马
bhrs 不欢而散
dbla 毒瘤
dhdy 对答
gtss 感同身受
gsll 哥俩
jpdr 冀东
mozs 抿嘴
skbj 数以百计
sfsf 诉讼法
wwkk 外框
wrjx 五角
xscl 细水长流
kifz 药粉
yohw 愈好
ziml 遵命
cysq 垂死
dnbe 大办
fhye 发源
gjkx 国际影响
hphk 很好用
kksu 靠上
nhce 难测
pjtj 培土
qmyd 启蒙运动
qcbk 千疮百孔
qvhh 秦淮河
ruhh 热乎乎
stdg 商队
sslw 硕士论文
tkmf 铁马
xksx 休养生息
zmsi 早逝
zjvf 坐诊
brvk 巴尔扎克
bobz 必败
cjce 初潮
cwkg 从未有过
fhlc 发凉
nnby 年表
qqkb 强压
sxds 所幸的是
wxdb 无线电波
kkjk 杨戬
kwxd 有限度
ypqp 御前
vixg 这些个
vmtv 殖民统治
fgwl 防伪
dnzj 大藏经
gubn 各不
hwvk 好战
hkkk 很有意义
rdjv 软禁
sqdl 死定了
tfje 调酒
xigl 选个
vpds 知多少
bodl 拜倒
dehd 淡红
gsse 广深
gbqr 果不其然
hobn 恨不能
hxwq 化学武器
lmbd 连绵不断
mfxh 马戏
nwje 嫩江
qolg 情郎
sokc 撒野
sdsm 素色
xuzi 下葬
xrkj 笑容可掬
xjsw 小胜
kkdc 抑扬顿挫
kwvu 嬴政
yjlp 袁隆平
btkk 变样
bddl 不当得利
dohi 打鼾
jhkj 鸡块
jrtl 几天来
jdxk 缴销
ltco 离愁
pdcc 片酬
qdqb 轻骑兵
tmdm 剃刀
wtht 文豪
kijs 一叫
kgss 阴森森
dyck 答错
dtkj 东条英机
hxwk 化险为夷
lrhj 累坏
mbdg 每队
mxjp 磨具
phsk 爬树
slcu 伤处
kcxz 一次性筷子
kwzz 有责
kkkh 杨开慧
bnwx 半碗
bjvd 必经之地
bysh 笔顺
blsm 俾斯麦
bnwm 不完美
fjhu 风火
gahy 古汉语
jdpl 纠偏
skzh 梳子
vfmk 驻美
fusj 复审
rmff 暗访
ckhk 查核
cwje 朝觐
csvs 叱咤
dlci 倒茶
dwnh 多难
fmdc 粉墨登场
gofk 功放
gygy 管管
gjsw 国家事务
jvck 既成
kvsq 抗战时期
ljkw 老妖
lrdp 留得
topd 摊牌
twti 脱逃
krds 盐度
ksmw 叶脉
pdch 瓢虫
bfcc 驳船
boni 拨弄
cece 澄澈
djkx 地矿
dmzs 电子束
hkrl 核燃料
jkfz 金粉
lsct 历史传统
xkkj 吸油烟机
zorg 左耳
bodt 摆地摊
fcqg 非常奇怪
hwsv 好事者
jesn 劲射
qkvz 欠账
wyrq 无人区
wnsf 舞狮
xchs 鲜红色
ksbx 一声不响
cjfs 城府
cjfr 成绩斐然
dwrs 党外人士
hfks 后发优势
jwjk 绝无仅有
lrjx 两角
lgtc 灵台
qqsp 翘首
wygg 未归
kdfq 一对夫妻
kivb 营帐
vokw 折腰
cnmm 长明
gtbd 高碑店
gkwi 歌王
hedm 混到
kfke 课业
lwvl 立住
mkrj 美人计
mgvh 魔爪
nxrz 那些日子
qtty 齐天
qysu 签上
ssxj 史学
sjpm 手机屏幕
xhwn 嘘寒问暖
kwwq 一往无前
vugy 照管
bwnr 背囊
cdzs 车座
fmvl 负债率
gtvn 高州
grxk 个人需要
xlnw 侠女
zsms 醉生梦死
bbsu 帮上
gnfz 骨粉
hdsk 红松
jkcb 检查表
sujk 上镜
sfdl 司法独立
sese 泗水
shhr 所画
tslv 天生丽质
xcpp 心潮澎湃
knzs 英年早逝
zjrp 增容
vjgx 芝加哥大学
vmvk 殖民主义
qsdp 庆典
rtwp 安特卫普
bckw 不出意外
dxtl 单行条例
gjfj 刮风
jkll 金利来
kidy 苦等
ljlk 老林
mmkr 明眼人
soka 搔痒
sebd 沙包
swbt 嬗变
taxo 疼惜
xhzh 戏子
xfro 谢恩
kipw 药瓶
zyvf 罪证
hrci 黑茶
tihi 茼蒿
ddmh 刁蛮
jhjl 基价
peks 浦口
qtds 齐天大圣
qclk 青旅
tiqj 逃去
kpdx 眼皮底下
kfly 一府两院
yhyc 孕育出
vjva 至真
vggf 中国功夫
mxds 磨叨
bpys 兵员
bnxf 不幸福
dpgy 单干
dppa 短跑
flbp 伏兵
hdlq 花大力气
jtsl 具体说来
mmvj 明志
midd 某段
rfxp 让行
whhc 武侯祠
xdmt 细目
kgxr 阳虚
vdkh 渣打银行
vorj 招安
wxgh 微信公众号
toxs 投向
besw 波斯湾
bnhc 不好吃
dblt 带离
dpds 单单是
gwjt 肛交
gtjs 高加索
gafe 古法
hemv 汗毛
nnpf 年谱
pese 泡水
rhve 乳汁
wdww 勿忘我
xdrl 线人
ksbw 有所不为
bbgm 帮个忙
cfmw 谄媚
dodt 打盹
dyyl 等于零
doms 懂吗
fkdg 方队
gmjl 刚健
jjvx 经济转型
jmrl 旧人
ljbt 老半天
lhnw 颅脑
pdle 纰漏
qvdl 秦代
slyo 伤愈
subq 数不清
telj 添乱
kiss 一双双
bhbs 步兵师
drfn 东非
fkhs 放号
fksx 放射线
kjdl 坑爹
kpmg 空门
mksi 美苏
mdkw 民有
nhsl 难舍
qeyi 汽运
splz 兽类
tudb 条带
tijw 退居
zwlj 脏乱
cplk 窗棂
dlko 倒扣
fqty 翻天
gakx 改一下
jmtl 景泰蓝
nvxs 囊中羞涩
suci 烧菜
chli 此理
gjdm 刮刀
mbcr 每册
mwpw 媒婆
mkxd 棉絮
poqo 拼抢
pocs 扑哧
tksj 拖延时间
wmsh 文明社会
xhsh 新社会
kswk 衣食无忧
yszd 怨声载道
bnke 奔涌
doli 打落
dydj 笃定
jkvk 经验主义
lkxs 铃响
qvhc 秦皇
qomi 情迷
sedy 沙丁鱼
szxx 赏雪
skhv 生活照
tsvs 他山之石
tygp 天公
wizk 王族
wtzx 文字学
xmdd 星斗
xqvr 性情中人
vesh 治所
bfcl 不费吹灰之力
bjqj 补缺
dazj 跌坐
fhvm 风华正茂
hbgx 很不高兴
hmhm 晃晃
hgbe 回波
jkhk 校核
jnlr 久留
rjtt 人间天堂
rzwx 人造卫星
suxt 数学题
sjrc 四季如春
kixs 迎向
vlbj 战略布局
bnvs 半只
cibw 赤膊
djwe 地温
jlql 俊俏
lbbk 狼狈不堪
lsdk 两手都要硬
sprj 山坳
skvk 树桩
sqqh 死期
wtsr 文思
xdrd 细软
xpcm 行刺
kwmm 姚明
kgti 隐退
vrtk 章太炎
bvbs 百战百胜
cmmm 昌明
dnpu 大炮
dnvx 大震
drzu 盗走
dkcx 第一场雪
doli 抖落
gjbw 官本位
hssj 喉舌
jwke 奸淫
ksww 口外
nbls 那不勒斯
qoxh 抢戏
sybi 三边
xjjg 小聚
kuka 烟瘾
vzsu 账上
vpqu 知趣
rjhw 安好
brnt 百鸟
bayo 病愈
cohv 掺和
dnro 大恩
gtgo 高挂
jkxl 机修
jkfk 检方
kkdd 空空荡荡
lglm 利国利民
slfj 伤风
wmsu 晚熟
xcll 县令
drdw 东端
qhrl 欺人
wrjc 五角场
wsrf 物是人非
wvdl 物质的量
xgld 降龙
kwle 有劳
zpsb 尊师
bnvq 半张
bnlg 比邻
bjpw 宾朋
bwbh 不温不火
cmto 刺探
fslm 饭量
garl 雇人
hsjw 后脚
jsmx 技术密集型
jskx 见识一下
lnvg 临阵
nglz 那类
qjwx 抢救无效
rldp 仁德
sljs 使君
sfjv 司法救助
twgj 脱光
kovl 掩住
kwyd 洋务运动
kixk 艺校
vjdy 宅第
siri 蒜蓉
culu 炽烈
gdhf 够狠
gssc 鬼使神差
ljlg 裸聊
mvfe 秘法
mcsw 名存实亡
nlqg 拿取
xujd 下句
xlfd 小李飞刀
kwsc 野外生存
kabt 异变
zjwi 在望
vmhs 这么回事
vssl 中山陵
vlxu 仲夏
vuhu 烛火
znhd 自毁
znjf 自警
btrm 变暗
ckgs 察言观色
dkjh 答疑解惑
dvkq 动之以情
fpsi 分述
hdmb 红帽
mdhd 门当户对
mmhs 明后
syjw 三姐
sarf 十二分
tkxi 铜芯
wtjd 文句
kfcd 验车
khvq 颜真卿
yifs 迂腐
zlvz 做账
bwdl 背地里
dmdh 到底会
gokj 工业界
jjss 结结实实
mgky 门开
qdms 庆大霉素
sokp 摄影棚
tots 探听
xsto 嗅探
ktja 眼疾
kskt 鹰眼
vyzj 罩在
boky 摆开
czft 财付通
cmqc 刺青
drdg 东道国
fjvf 发家致富
hpxg 很凶
heci 滑出
jkgs 极广
jcmw 舅妈
lovk 恋战
lxlg 零陵
ngqg 内圈
nsnj 蹑手蹑脚
prkm 平易
qjdm 缺电
sucw 上朝
wkkl 万有引力
kbjd 压紧
cywg 重围
dkgl 戴高乐
hlhh 互利互惠
jfwn 记为
ltge 离港
ltck 量体裁衣
maxr 卖血
meji 没进
secn 深长
xjdp 喜得
kykt 艳阳天
kjrg 一见如故
kvpv 意志品质
vdgk 轧钢
xrjj 陷入僵局
bnlw 不理我
cklk 差旅
hvvv 花枝招展
jjcz 家财
jmyg 晶圆
mlmh 美轮美奂
rlgh 人格化
smvk 三民主义
skks 松口
wwqi 外迁
xhyd 新约
kwxo 臆想
kqcw 引产
kxvl 硬仗
viql 珍禽
zjdj 坐地
gkjy 钢筋
bbgo 帮工
jwdd 娇滴滴
jebl 酒保
kfmt 课目
lidj 理当
lrcs 两餐
lnxu 临夏
lgki 灵药
ngdl 那倒
pgfy 匹夫
skbt 稍有不同
stwt 衰亡
tkxi 铁芯
kdbq 一大笔钱
yzxl 与子偕老
vfbk 执法不严
zyzz 罪责
btvp 变窄
bdvs 剥夺政治权利终身
bnpz 不赔
cztg 彩陶
clmg 侧门
ccxf 酬谢
gwvw 胳肢
kjds 客店
lrje 略加
mmcv 美梦成真
qswl 气死我了
sese 水势
xjsp 学生票
vlmk 至理名言
zprk 尊荣
blqs 便器
crdt 趁热打铁
cygg 重归
dffe 读法
ryyf 二月份
htkw 互通有无
jgxr 聚酰胺
lyld 笼络
mwfy 妹夫
sots 手提式
shng 所能够
kggm 阉割
kitn 迎头
mgda 魔导
rgvs 爱国主义精神
cuvj 炒至
cijf 出警
gpvm 公制
hhyw 欢娱
mklp 梅岭
tkjm 铁剑
xujy 下井
ksxf 应许
vevn 涿州
bpgw 八股
byto 笔挺
czvy 粗重
dfqi 调遣
hrhs 好人好事
hpvh 很正
lrje 来劲
ljyw 老妪
mvxg 毛细管
qohi 擒获
sjlr 少来
spzk 兽族
sjbl 随机变量
wtvn 文竹
kwjl 有件
zctx 自成体系
bnfd 不反对
cxla 磁疗
dlds 低度
djbd 定编
divs 董仲舒
ggcg 国耻
hfdw 话多
jety 见天
mbkk 每一刻
nsbi 哪边
rnqv 入秋
srha 韶华
svjh 税基
tkdw 特多
tlrf 体认
bmgi 别过
bnva 不支
ceke 潮涌
dddw 斗胆
fomo 愤懑
gsri 哥儿
hpjq 和平崛起
hbvp 黑白照片
hplt 很亮
hovy 护罩
jfcc 计酬
jvbf 价值不菲
kkmk 枯木
kksk 枯树
lekb 力压
mwzs 名嘴
pfsh 评审会
sufw 上腹
tode 挑动
tlsq 停售
wqbs 完全不是
xgdo 卸掉
xijk 鞋架
kgjd 有根据的
vsgh 中国话
znwm 自刎
rsnk 爱沙尼亚
dohg 打回
dfkt 独眼
flzl 父子俩
gtcs 高材生
gaja 痼疾
svhw 稍好
wlkz 无路可走
xhki 新芽
kbsp 严嵩
zojl 总教练
zjjt 最近几天
bwnw 婢女
bnzc 不在场
dkhc 大有好处
gakq 古雅
jdpc 绝配
tkxk 铁锈
xqjh 雄鸡
bwjk 保外就医
bcmo 白描
btrl 暴跳如雷
dckk 到此一游
dmse 电势
gabe 改办
gmrg 割肉
jyqh 机缘巧合
kosv 扣税
kbrn 压入
kxhh 有限合伙
rqsj 日期时间
btqq 变强
cqjw 残局
drdp 东单
dvqk 断章取义
fdcs 纷呈
goss 挂饰
kpvd 空转
lrfj 令人费解
lfcx 龙凤呈祥
natm 南天门
qelc 清冽
slsp 佘山
xkcd 相承
xjmw 学妹
kibb 一般般
zpba 尊卑
balj 卑劣
dwjm 对外经贸
ghgk 观光客
rmss 日食
smgn 什么概念
segj 水缸
tolo 提拉
wyjo 无惧
kxxw 一线希望
yjqw 冤屈
cplk 岔路口
dnsk 大事业
djxd 地线
lrsw 令人失望
lldf 落落大方
nvrg 男主人公
nwqw 娘亲
pomr 扑面
qmjy 启蒙教育
qksn 栖身
qosh 抢手货
syli 三连
shnr 受虐
tnsc 太史慈
wixf 王熙凤
xhqm 新曲
knjj 义举
drss 东三省
dwnh 多瑙河
fsyl 翻山越岭
fgpg 麸皮
grzk 个人自由
gpjv 公交站
hegd 滑轨
hpdu 黄灯
jrhs 几号
mtkv 眉头一皱
phsp 膨化食品
skbk 善本
suvk 烧着
xgdi 邪道
yhcq 预产期
vjkp 转基因食品
vbsj 壮实
cikj 茶客
csdd 唱段
dhtn 断头
gcyc 鳜鱼
hxfm 霍夫曼
jqtj 疆土
ngdw 那端
nhdl 难倒
susk 收缩压
wwlx 瓦砾
khqb 有何区别
cpgn 彻骨
dmrr 道貌岸然
djld 地龙
